year,state,n,percent
2022,MT,27581,0.0326781634656497
2023,MT,34125,0.040431540852953
2022,MO,346159,0.410131626377066
2023,MO,392063,0.464519009565753
2024,KY,84017,0.0995439345887928
2020,MN,103630,0.122781555416601
2019,HI,88746,0.105146887165895
2023,KS,196553,0.232877381663604
2022,NE,86469,0.102449081494916
2021,IN,277084,0.328291078848341
2020,WA,107466,0.127326475290944
2023,AZ,444102,0.526175184055037
2017,WA,1109,0.00131395102727985
2017,IL,1075,0.00127366758730914
2018,IL,200058,0.237030130401761
2019,TN,775940,0.919339188555029
2020,TN,301111,0.356758438029994
2021,NH,42836,0.05075239513486
2017,WI,843,0.00099879234986196
2018,WI,96578,0.114426296043853
2019,WI,311160,0.368664564155454
2022,AZ,366467,0.434192688110158
2023,SC,403425,0.477980787358317
2024,SC,121782,0.144288173132727
2024,NJ,63190,0.0748679579926184
2018,AL,94600,0.112082747683205
2018,CO,117922,0.139714817888994
2019,CO,373310,0.442300322807792
2021,AL,288604,0.341940056156063
2022,OR,93912,0.111267600427327
2023,OR,105666,0.125193822586612
2024,OR,31824,0.0377052998125825
2023,IN,349672,0.414293853571686
2024,IN,96057,0.113809011566655
2022,MI,162368,0.192374752387173
2023,MI,188188,0.222966470623752
2024,MI,52170,0.0618113842138772
2018,PR,44090,0.0522381431855443
2019,PR,196559,0.232884490505951
2017,OR,569,0.000674155215980374
2018,OR,68704,0.0814009841102208
2019,OR,171874,0.20363752828016
2017,MD,680,0.000805668799414156
2018,MD,75819,0.0898308863276204
2019,MD,237645,0.281563473289378
2021,NV,127857,0.151485876009847
2024,MT,9111,0.0107947771050917
2020,IA,78032,0.0924528643468903
2020,HI,42275,0.0500877183753433
2021,HI,47459,0.0562297581638183
2022,AL,348262,0.41262327561996
2023,NJ,225427,0.267087500655198
2020,OK,225249,0.266876604998881
2022,IN,301464,0.357176674921454
2017,TN,1962,0.00232459144772143
2018,TN,249237,0.295297756705273
2017,GA,5639,0.00668112699984768
2017,NY,639,0.000757091710037714
2018,NY,87056,0.103144563237939
