address_id,street1,street2,city,state,zipcode,FIPS,county,longitude,latitude
256,2451 NORTH 90TH STREET,"",Omaha,NE,68134,31055,Douglas,-96.0512919,41.2809808
257,4435 W ANTHEM WAY,"",ANTHEM,AZ,85086,04013,Maricopa,-112.1549414,33.8697216
258,3770 US HIGHWAY 395 S,"",CARSON CITY,NV,89705,32005,Douglas,-119.7784316,39.111881
259,1600 W WISCONSIN ST,"",SPARTA,WI,54656,55081,Monroe,-90.832823,43.9413995
260,521 E CHESTNUT ST,"",JUNCTION CITY,KS,66441,20061,Geary,-96.8205295,39.0190386
261,9460 GILES ROAD,"",La Vista,NE,68128,31153,Sarpy,-96.0598946,41.1777441
262,1201 N SERVICE RD E,"",RUSTON,LA,71270,22061,Lincoln,-92.6531833,32.5385987
263,3636 MONROE HWY,"",PINEVILLE,LA,71360,22079,Rapides,-92.4065144,31.3668875
264,5835 W. 10TH ST,"",Indianapolis,IN,46224,18097,Marion,-86.2632456,39.7782506
265,3221 W 86TH ST,"",Indianapolis,IN,46268,18097,Marion,-86.2164839,39.9091242
266,2400 W PASEWALK AVE,"",Norfolk,NE,68701,31119,Madison,-97.4452344,42.0241751
267,1633 MARTIN LUTHER KING JR BLVD,"",HOUMA,LA,70360,22109,Terrebonne,-90.7518286,29.6076446
268,929 S PINE ST,"",VIVIAN,LA,71082,22017,Caddo,-93.9867266,32.8577537
269,1585 LIBERTY DR STE 1,"",THOMASVILLE,NC,27360,37057,Davidson,-80.0654119,35.8557564
270,184 OLD WINNFIELD RD,"",JONESBORO,LA,71251,22049,Jackson,-92.7059596,32.2286128
271,925 KEYSER AVE,"",NATCHITOCHES,LA,71457,22069,Natchitoches,-93.0678525,31.7495638
272,3041 N RAINBOW BLVD,"",LAS VEGAS,NV,89108,32003,Clark,-115.2447474,36.2151172
273,3005 CHARITY STREET,"",ABBEVILLE,LA,70510,22113,Vermilion,-92.0950231,29.9730071
274,530 S GRAHAM HOPEDALE RD,"",BURLINGTON,NC,27217,37001,Alamance,-79.4032157,36.0914363
275,729 ODD FELLOWS RD,"",CROWLEY,LA,70526,22001,Acadia,-92.3648586,30.2330959
276,300 E LAKE MEAD PKWY,"",HENDERSON,NV,89015,32003,Clark,-114.9772714,36.0389085
277,39142 NATCHEZ DR,"",SLIDELL,LA,70461,22103,St. Tammany,-89.7483003,30.2789296
278,4725 US HIGHWAY 80 E,"",SAVANNAH,GA,31410,13051,Chatham,-81.0051818,32.041377
279,8101 W JUDGE PEREZ DR,"",CHALMETTE,LA,70043,22087,St. Bernard,-89.9831667,29.9584237
280,6000 BULLARD AVE,"",NEW ORLEANS,LA,70128,22071,Orleans,-89.9612229,30.0430075
281,904 S RANGE AVE,"",DENHAM SPRINGS,LA,70726,22063,Livingston,-90.9532119,30.4725744
282,412 OAKS XING,"",PLAINWELL,MI,49080,26005,Allegan,-85.6727034,42.4477309
283,1155 BATTLEFIELD PARKWAY,"",FORT OGLETHROPE,GA,30742,13047,Catoosa,-85.2446947,34.9547649
284,5303 WRIGHTSBORO RD,"",GROVETOWN,GA,30819,13073,Columbia,-82.207595,33.454529
285,5555 S US HWY #41,"",Terre Haute,IN,47802,18167,Vigo,-87.405198,39.3995629
286,1616 W AIRLINE HWY,"",LA PLACE,LA,70068,22095,St. John the Baptist,-90.4982712,30.0748089
287,5125 EAST KINGS CANYON RD,"",Fresno,CA,93727,06019,Fresno,-119.7214479,36.7383152
288,1133 N MAIN ST,"",VIROQUA,WI,54665,55123,Vernon,-90.8862854,43.5701859
289,5955 ZEBULON RD,"",MACON,GA,31210,13021,Bibb,-83.7600785,32.8830479
290,1 MYERS ST,"",CARTHAGE,TN,37030,47159,Smith,-85.940346,36.244879
291,4283 CARTER ST,"",VIDALIA,LA,71373,22029,Concordia,-91.462351,31.5773692
292,4735 JONESBORO RD,"",UNION CITY,GA,30291,13121,Fulton,-84.5417127,33.5731816
293,5588 LITTLE DEBBIE PKWY,"",OOLTEWAH,TN,37363,47065,Hamilton,-85.0631219,35.0811317
294,1025 HIGHWAY 34 E,"",NEWNAN,GA,30265,13077,Coweta,-84.7436353,33.3935071
295,4909 BUENA VISTA RD,"",COLUMBUS,GA,31907,13215,Muscogee,-84.9101143,32.4688573
296,7292 HWY #509,"",MANSFIELD,LA,71052,22031,De Soto,-93.6824891,32.0526889
297,547 W CHURCH ST,"",LEXINGTON,TN,38351,47077,Henderson,-88.411758,35.6546413
298,2650 LAKE RD,"",DYERSBURG,TN,38024,47045,Dyer,-89.3917211,36.0630002
299,2536 AIRLINE DR,"",BOSSIER CITY,LA,71111,22015,Bossier,-93.7063784,32.5482353
300,803 NEW FRANKLIN RD,"",LA GRANGE,GA,30240,13285,Troup,-85.0314658,33.0600063
301,420 Factory Outlet Drive,"",Hanson,KY,42413,21107,Hopkins,-87.4730306,37.4219954
302,100 WALTON AVE,"",DANVILLE,KY,40422,21021,Boyle,-84.771787,37.6145309
303,2425 E 2nd St,"",Reno,NV,89502,32031,Washoe,-119.7816825,39.5289227
304,4150 RINGGOLD ROAD,"",EAST RIDGE,TN,37412,47065,Hamilton,-85.2455635,34.9963823
305,300 SOUTH BELAIR RD,"",AUGUSTA,GA,30907,13073,Columbia,-82.1366615,33.4933262
306,615 S CUMBERLAND ST,"",LEBANON,TN,37087,47189,Wilson,-86.290513,36.1915929
307,2500 N. FIRST AVENUE,"",Evansville,IN,47710,18163,Vanderburgh,-87.5753651,38.0035024
308,630 E BROADWAY BLVD,"",JEFFERSON CITY,TN,37760,47089,Jefferson,-83.4681505,36.1287774
309,303 E INTERSTATE DR,"",JENNINGS,LA,70546,22053,Jefferson Davis,-92.6590418,30.2446523
310,11 GLYNN PLAZA,"",BRUNSWICK,GA,31520,13127,Glynn,-81.4873197,31.1932019
311,2710 N MAIN ST,"",HIGH POINT,NC,27265,37081,Guilford,-80.0285161,35.9942346
312,4001 BEHRMAN PL,"",NEW ORLEANS,LA,70114,22071,Orleans,-90.0204429,29.9114805
313,1195 BARRETT BLVD,"",HENDERSON,KY,42420,21101,Henderson,-87.5660029,37.8561762
314,59690 BELLEVIEW DR,"",PLAQUEMINE,LA,70764,22047,Iberville,-91.2549602,30.2638583
315,2586 N SLAPPEY BLVD,"",ALBANY,GA,31701,13095,Dougherty,-84.1740935,31.6133916
316,1932 REES ST,"",BREAUX BRIDGE,LA,70517,22099,St. Martin,-91.9103818,30.2930958
317,2204 S 5TH ST,"",LEESVILLE,LA,71446,22115,Vernon,-93.274597,31.118733
318,6520 MEMPHIS ARLINGTON RD,"",BARTLETT,TN,38135,47157,Shelby,-89.8471278,35.2279782
319,1318 MEBANE OAKS RD,"",MEBANE,NC,27302,37001,Alamance,-79.2734801,36.0668792
320,525 KIMBALL CROSSING DR,"",KIMBALL,TN,37347,47115,Marion,-85.6820024,35.0404552
321,301 LEONARDWOOD RD,"",FRANKFORT,KY,40601,21073,Franklin,-84.8994541,38.1602836
